14
64

0	1	1	0	0	0	0	1	0	0	0	0	0	0
1	0	1	1	0	0	0	0	0	0	0	0	0	0
1	1	0	0	0	1	0	0	0	0	0	0	0	0
0	1	0	0	1	0	0	0	0	0	1	0	0	0
0	0	0	1	0	1	1	0	0	0	0	0	0	0
0	0	1	0	1	0	0	0	0	1	0	0	1	0
0	0	0	0	1	0	0	1	0	0	0	0	0	0
1	0	0	0	0	0	1	0	1	0	0	0	0	0
0	0	0	0	0	0	0	1	0	1	0	1	0	1
0	0	0	0	0	1	0	0	1	0	0	0	0	0
0	0	0	1	0	0	0	0	0	0	0	1	0	1
0	0	0	0	0	0	0	0	1	0	1	0	1	0
0	0	0	0	0	1	0	0	0	0	0	1	0	1
0	0	0	0	0	0	0	0	1	0	1	0	1	0

1

0	1136	1702	0	0	0	0	2838	0	0	0	0	0	0
1136	0	683	959	0	0	0	0	0	0	0	0	0	0
1702	683	0	0	0	2049	0	0	0	0	0	0	0	0
0	959	0	0	573	0	0	0	0	0	2349	0	0	0
0	0	0	573	0	1450	732	0	0	0	0	0	0	0
0	0	2049	0	1450	0	0	0	0	1128	0	0	1976	0
0	0	0	0	732	0	0	718	0	0	0	0	0	0
2838	0	0	0	0	0	718	0	706	0	0	0	0	0
0	0	0	0	0	0	0	706	0	839	0	366	0	451
0	0	0	0	0	1128	0	0	839	0	0	0	0	0
0	0	0	2349	0	0	0	0	0	0	0	596	0	789
0	0	0	0	0	0	0	0	366	0	596	0	385	0
0	0	0	0	0	1976	0	0	0	0	0	385	0	246
0	0	0	0	0	0	0	0	451	0	789	0	246	0
